id,title,city,desc,class
650158346685a6924136861b,Aga Khan Palace,Pune,"Built in 1892 by Sultan Muhammed Shah Aga Khan III, the Aga Khan Palace is one of the many historical places in Maharashtra and a landmark for many defining moments in Indian history. It was here that Mahatma Gandhi, his wife Kasturba, and Sarojini Naidu were held captive.\n\nMahatma Gandhi’s ashes are buried in the grounds of this very palace. Apart from being known for its architectural beauty, the palace heads the Gandhi National Memorial Society and even encourages khaki-making to support the poor with a livelihood.\n\nTake a walk through the palace and you’ll also come across a museum with a collection of photos that depict the major events in Indian history.","Palace,Fort"
650158346685a6924136861c,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,"In 1904, some leading citizens of Bombay decided to provide a museum to commemorate the visit of the Prince of Wales, the future King George V. On 14 August 1905, the committee passed a resolution saying:\n\n\n'Statue of The Prince of Wales, who became the Emperor, George Vth, later\n""The museum building embodies the pomp and height at which the British raj was moving ahead with their ambitious plans, in building the great metropolis Bombay"". ""In keeping pace with the best style of local architecture, many buildings were built, among which, Bombay High Court building, and later, Gateway of India buildings were the most notable ones"".\n\n\nOn two sides of the statue has mural type of stone carving depicting the POW inaugurating the museum\nThe foundation stone was laid by the Prince of Wales on 11 November 1905 and the museum was formally named ""Prince of Wales Museum of Western India"". On 1 March 1907, the government of the Bombay Presidency granted the museum committee a piece of land called the ""Crescent Site"", where the museum now stands. Following an open design competition, in 1909 the architect George Wittet was commissioned to design the Museum building. Wittet had already worked on the design of the General Post Office and in 1911 would design one of Mumbai's most famous landmarks, the Gateway of India.\n\nThe museum was funded by the Royal Visit (1905) Memorial Funds. Additionally, the Government and the Municipality granted Rs. 300,000 and Rs. 250,000 respectively. Sir Currimbhoy Ibrahim (first Baronet) donated another Rs. 300,000 and Sir Cowasji Jehangir gave Rs. 50,000. The Museum was established under Bombay Act No. III of 1909. The museum is now maintained by annual grants from the Government and the Bombay Municipal Corporation. The latter pays for these grants from the interest accruing on the funds at the disposal of the Trust of the Museum.\n\nThe museum building was completed in 1915, but was used as a Children's Welfare Centre and a Military Hospital during the First World War, before being handed over to the committee in 1920. The Prince of Wales Museum was inaugurated on 10 January 1922, by Lady Lloyd, the wife of George Lloyd, Governor of Bombay.\n\nThe museum building is a Grade I Heritage Building of the city and was awarded first prize (Urban Heritage Award) by the Bombay Chapter of the Indian Heritage Society for heritage building maintenance in 1990. In 1998 the Museum was renamed Chhatrapati Shivaji Maharaj Vastu Sangrahalaya after the warrior king and founder of the Maratha Empire, Shivaji. The museum was renamed after the renaming of the city in 1995, when the colonial name ""Bombay"" was replaced by the native ""Mumbai"".",Library
650158346685a6924136861d,Sanjay Gandhi National Park,Mumbai,"The Sanjay Gandhi National Park area has a long history dating back to the 4th century BC. In ancient India, Sopoara and Kalyan were two ports in the vicinity that traded with ancient civilizations such as Greece and Mesopotamia. The 45 km (28 mi) land route between these two ports was partially through this forest. The Kanheri Caves in the center of the park were an important Buddhist learning center and pilgrimage site sculpted by Buddhist monks between 9th and 1st centuries BCE. They were chiseled out of a massive basaltic rock outcropping.\n\nThe park was named 'Krishnagiri National Park' in the pre-independence era. At that time the area of the park was only 20.26 sq. km (7.82 sq mi). In 1969, the park was expanded to its present size by acquiring various reserve forest properties adjoining the park. After this, an independent unit of the Forest Department called 'Borivali National Park Sub-division' administered the area. Krishnagiri National Park was created in 1974 and later renamed as 'Borivali National Park'. In 1981, it was re-dedicated as 'Sanjay Gandhi National Park' in memory of Sanjay Gandhi, the son of ex-Prime Minister of India Indira Gandhi.","National Park, Zoo, Trek, Caves,Adventure"
650158346685a6924136861e,Elephanta Caves,Raigad,"The authenticity of the property has been well maintained since its inscription on the World Heritage List, despite certain repairs on the façade and pillars that have been carried out to ensure the structural stability of the monument. Besides the caves, Elephanta Island possesses archaeological remains from as early as the 2nd century BC and from the Portuguese period, as witnessed, respectively, by stupas buried towards the eastern side of the hillock and a canon located at its top. Moreover, the caves are preserved in the form of monolithic temples, sarvatobhadra garbhgriha (sanctum), mandapa (courtyard), rock-cut architecture, and sculptures. Since inscription, a number of interventions have been made to enhance visitors’ experience and to conserve the site. These include the construction of pathways, conservation of fallen and broken pillars, conservation of fallen and collapsed facades, construction of flight of steps leading to the caves from island’s jetty, repair to the Custodian’s Quarters, and setting up of a Site Information Centre.","Caves, Trek"
650158346685a6924136861f,Raigad Fort,Raigad,"The Raigad Fort (earlier called as the Fort of Rairi) was seized by Chhatrapati Shivaji Maharaj in 1656 from Chandraraoji More, the King of Jawali. After Chhatrapati Shivaji Maharaj seized the fort, he expanded it considerably and named it as King’s Fort or Raigad. It later became the capital of Chhatrapati Shivaji Maharaj’s expanding Maratha Empire. The Raigadwadi and Pachad villages are nestled at the base of the fort. These villages were vital during the Maratha reign at the Raigad Fort. The climb till the top of the fort starts right from Pachad itself. During the rule of Chhatrapati Shivaji Maharaj , a 10,000-strong cavalry division was always on guard at the Pachad village. Shivaji also built the Lingana Fort approximately two miles away from Raigad. It was used for accommodating prisoners.\n\nZulfikhar Khan captured Raigad in 1689 and Aurangzeb changed its name to Islamgad. Siddi Fathekan captured the fort in 1707 and held it until 1733. After this period, the Marathas captured the Raigad Fort once again and kept it till 1818. The Fort is nestled in the current Sindhudurg District of Maharashtra and the British East India Company targeted it as a major political epicenter. Cannons from the hill of Kalkai ravaged the Raigad Fort in 1818, destroying it. On May 9, 1818, a treaty was executed and the British East India Company obtained control of the same.","Fort, Trek, Historical, Caves"
650158346685a69241368620,Devagiri Daulatabad Fort,Aurangabad,"Quite rightly referred to as one of the ‘Seven Wonders of Maharashtra’, the Daulatabad Fort is a nature lover’s paradise for its sprawling greenery. Built in the 12th century, this architectural beauty offers an enchanting view of the entire city, after a climb of around 750 steps and it is one of the best historical places in Maharashtra.\n\nWhat stands out here is the design style and structure of the monument. Daulatabad Fort is built atop a 200-metre high conical hill, owing to which, not only is the view from the top of a sight to behold but given its strategic location, the historical monument could not be attacked by the enemies. Visit this spot to take a walk through history, quite literally.","Fort, Trek, Adventurous"
650158346685a69241368621,Veermata Jijabai Bhosale Udyan And Zoo,Mumbai,"Rani Bagh is a fascinating subplot in the history of Mumbai. It was established at Byculla in 1861 by the Agri-Horticultural Society of Western India as Victoria Gardens and in 1890, a small zoo was added to it. Long before iconic heritage structures like the Victoria Terminus and Gateway of India,","Zoo, National Park"
650158346685a69241368622,Dadasaheb Phalke Chitranagari,Mumbai,"The Mumbai Film City or Dadasaheb Phalke Chitranagari at Goregaon in Mumbai, established in 1977 is one of the largest studio complexes in India. It has virtually every facility that a film-maker needs, which makes it the ultimate destination for every discerning producer.\n\nOn persuasion of visionary people like Late Shri V Shantaram, late Shri B R Chopra and veteran actor Shri Dilip Kumar, Maharashtra Film, Stage & Cultural Development Corporation Ltd. alias Filmcity was established on 26 September 1977 by the Department of Cultural Affairs, Government of Maharashtra. It was renamed as Dadasaheb Phalke Chitranagari in the year 2001 to commemorate the founder of Indian film Industry Dadasaheb Phalke.\n\nThe greatest advantage of Film City is its location and vast area covering more than 520 acres land in suburbs of Mumbai. The Film city has approximate 42 Outdoor Shooting Locations\n\nMaharashtra Film, Stage & Cultural Development Corporation (MFSCDC) envisions to transform the current facility into an international standard integrated film-making destination. The vision thus focuses on providing a one-stop solution for content producers in the country by providing adequate infrastructure across pre-production, production and post-production aspects of the film-making lifecycle. In addition to this, MFSCDC also envisages to develop the facility as an Indian cinema based concept-tourism & entertainment destination","Museum, FilmCity, Historical"
650158346685a69241368623,Ellora Caves,Aurangabad,"The invaluable ensemble of 34 caves at Ellora in the Charanandri hills of western India’s Maharashtra State showcases a spirit of co-existence and religious tolerance through the outstanding architectural activities carried out by the followers of three prominent religions: Buddhism, Brahmanism, and Jainism. The rock-cut activity was carried out in three phases from the 6th century to the 12th century. The earliest caves (caves 1–12), excavated between the 5th and 8th centuries, reflect the Mahayana philosophy of Buddhism then prevalent in this region. The Brahmanical group of caves (caves 13–29), including the renowned Kailasa temple (cave 16), was excavated between the 7th and 10th centuries. The last phase, between the 9th and 12th centuries, saw the excavation of a group of caves (caves 30–34) reflecting Jaina philosophy.\n\nAmongst the caves of the Buddhist group, Cave 10 (Visvakarma or Sutar-ki-jhopari, the Carpenter’s cave), Cave 11, and Cave 12 (Teen Tal, or three-storied monastery, the largest in this category) are particularly important. These caves mark the development of the Vajrayana form of Buddhism and represent a host of Buddhist deities. The prominent caves of the Brahmanical group are Cave 15 (Dasavatara, or Cave of Ten Incarnations), Cave 16 (Kailasa, the largest monolithic temple), Cave 21 (Ramesvara), and Cave 29 (Dumar Lena). Amongst these, Cave 16 is an excellent example of structural innovation, and marks the culmination of rock-cut architecture in India featuring elaborate workmanship and striking proportions. The temple is decorated with some of the boldest and finest sculptural compositions to be found in India. The sculpture depicting Ravana attempting to lift Mount Kailasa, the abode of Siva, is especially noteworthy. The remains of beautiful paintings belonging to different periods are preserved on the ceilings of the front mandapa (pillared hall) of this temple. The Jaina group of caves (caves 30 – 34) is exquisitely carved with fine, delicate sculptures, and includes fine paintings dedicated to the Digambara sect. Through their art and architecture, the Ellora Caves serve as a window to ancient India, including socio-cultural phenomena, material culture, politics, and lifestyles.","Caves, Historical Site, Monument"
650158346685a69241368624,Shaniwar Wada,Pune,"The foundation stone of the Shaniwar Wada was laid in 1730 by Peshwa Bajirao I. Initially, it was intended to be a colossal palace of seven stories made out of stone. But the people of the national capital argued that only King can have a castle made of stone.\n\nSo, the construction of Shaniwar Wada began using bricks. It took two years to complete this elegant structure, which displayed an excellent blend of the Maratha Imperial architecture with the Mughal architecture. The interiors had valuable furniture and decorations along with carvings of flowers and paintings of scenes from the Mahabharata and Ramayana. \n\nThe first major fire in the year 1791 destroyed a significant part of the fort, which was re-constructed again. Then the next explosion in 1808 burnt all the necessary artifacts and documents in the palace.\n\nThen another fire in 1812 destroyed the upper two stories of the castle, followed by a fire in 1813 which destroyed the Royal Hall. All this destruction was taken to another level in the year 1818. The British attacked Shaniwar Wada, which resulted in collapsing all the top stories. Finally, in the year 1828, a fire caught the whole palace, which burned for a week and wrecked it.","Palace, Fort, Arcitectural Site"
